Complaint ID,Product,Issue,Company,Company response,Timely response?,Consumer disputed?,Day received,Response time
1236900,Debt collection,Cont'd attempts collect debt not owed,Encore Capital Group,Closed with non-monetary relief,1,0,42,1
1236901,Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,Closed with explanation,1,0,43,7
1236902,Mortgage,"Loan modification,collection,foreclosure",Bank of America,Closed with non-monetary relief,1,0,43,0
1236907,Mortgage,"Loan modification,collection,foreclosure",PNC Bank,Closed,1,0,43,7
1236908,Credit card,Transaction issue,"Continental Finance Company, LLC",In progress,1,0,42,8
1236909,Credit card,Delinquent account,Barclays,Closed with explanation,1,1,42,8
1236911,Credit reporting,Incorrect information on credit report,TransUnion,In progress,1,0,43,0
1236912,Credit reporting,Incorrect information on credit report,TransUnion,Closed with explanation,1,0,43,0
1236914,Mortgage,"Application, originator, mortgage broker","Caliber Home Loans, Inc",Closed with explanation,1,0,43,0
1236915,Mortgage,Credit decision / Underwriting,Ocwen,Closed with explanation,1,0,43,0
1236916,Bank account or service,Problems caused by my funds being low,RBS Citizens,Closed with monetary relief,1,0,42,7
1236918,Bank account or service,Using a debit or ATM card,USAA Savings,Closed with explanation,1,1,42,1
1236923,Credit reporting,Credit reporting company's investigation,Experian,Closed with non-monetary relief,1,0,43,7
1236926,Mortgage,"Loan modification,collection,foreclosure",Wells Fargo,Closed with explanation,1,0,43,7
1236927,Bank account or service,"Account opening, closing, or management",Wells Fargo,Closed with explanation,1,0,43,7
1236928,Mortgage,"Loan servicing, payments, escrow account",Bank of America,Closed with explanation,1,0,42,1
1236929,Consumer loan,Taking out the loan or lease,Bank of America,Closed with explanation,1,0,43,6
1236930,Credit reporting,Unable to get credit report/credit score,Experian,Closed with non-monetary relief,1,0,43,0
1236931,Debt collection,Cont'd attempts collect debt not owed,"Dynamic Recovery Solutions, LLC",Closed with non-monetary relief,1,0,43,0
1236932,Debt collection,Cont'd attempts collect debt not owed,Wells Fargo,Closed with explanation,1,0,43,0
1236936,Debt collection,Cont'd attempts collect debt not owed,"National Credit Services, Inc.",Closed with non-monetary relief,1,0,43,0
1236937,Prepaid card,"Managing, opening, or closing account",Amex,Closed with monetary relief,1,0,43,7
1236938,Credit card,Closing/Cancelling account,Bank of America,Closed with explanation,1,1,43,0
1236941,Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase,Closed with explanation,1,0,43,7
1236944,Consumer loan,Problems when you are unable to pay,Pentagon FCU,Closed with explanation,1,0,43,0
1236949,Debt collection,Cont'd attempts collect debt not owed,ALTERNATIVE DISPUTE RESOLUTIONS,Untimely response,0,0,43,19
1236950,Consumer loan,Managing the loan or lease,Capital One,Closed with explanation,1,0,43,0
1236951,Debt collection,Cont'd attempts collect debt not owed,"Harvard Collections, LLC",Closed,1,0,43,0
1236953,Student loan,Dealing with my lender or servicer,Navient,Closed with explanation,1,0,43,0
1236955,Credit card,Billing disputes,Citibank,Closed with monetary relief,1,0,43,0
1236956,Credit card,Identity theft / Fraud / Embezzlement,Capital One,In progress,1,0,43,7
1236957,Credit reporting,Incorrect information on credit report,Equifax,Closed with explanation,1,0,42,1
1236958,Mortgage,"Loan servicing, payments, escrow account",Ocwen,In progress,1,0,43,0
1236959,Credit card,Credit card protection / Debt protection,Capital One,In progress,1,0,43,7
1236961,Credit reporting,Incorrect information on credit report,Equifax,Closed with explanation,1,0,43,7
1236963,Bank account or service,"Making/receiving payments, sending money",FirstBank of Puerto Rico,Closed with monetary relief,1,0,43,0
1236964,Credit reporting,Incorrect information on credit report,Experian,In progress,1,0,43,7
1236965,Credit reporting,Incorrect information on credit report,TransUnion,Closed with explanation,1,0,43,7
1236966,Credit reporting,Incorrect information on credit report,Equifax,Closed with explanation,1,0,43,7
1236967,Consumer loan,Problems when you are unable to pay,CNG Financial Corporation,Closed with explanation,1,1,43,1
1236971,Debt collection,Disclosure verification of debt,Allied Interstate LLC,Closed with non-monetary relief,1,0,43,0
1236972,Debt collection,Cont'd attempts collect debt not owed,"United Collection Bureau, Inc.",Closed with explanation,1,0,43,8
1236974,Debt collection,Communication tactics,"I.C. System, Inc.",Closed with explanation,1,0,43,1
1236978,Mortgage,Credit decision / Underwriting,Seterus,In progress,1,0,43,0
1236979,Mortgage,"Loan servicing, payments, escrow account","Select Portfolio Servicing, Inc",Closed with explanation,1,1,42,1
1236981,Debt collection,Cont'd attempts collect debt not owed,"Choice Recovery, Inc.",Closed with explanation,1,0,43,7
1236982,Debt collection,Cont'd attempts collect debt not owed,Transworld Systems Inc.,Closed with explanation,1,0,43,0
1236987,Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,Closed with explanation,1,0,43,0
1236989,Mortgage,"Application, originator, mortgage broker","Asset One Mortgage, Inc.",Closed with explanation,1,1,43,18
1236990,Debt collection,Communication tactics,Allied Interstate LLC,Closed with non-monetary relief,1,0,43,7
1236991,Debt collection,Communication tactics,GE Capital Retail,Closed with explanation,1,0,43,7
1236993,Bank account or service,"Account opening, closing, or management",Wells Fargo,Closed with explanation,1,0,43,7
1236995,Mortgage,"Application, originator, mortgage broker",Bank of America,Closed with monetary relief,1,1,42,8
1236998,Mortgage,"Loan modification,collection,foreclosure",Rushmore Loan Management Services LLC,Closed with explanation,1,0,43,0
1237000,Mortgage,"Application, originator, mortgage broker",Citibank,Closed with explanation,1,0,43,0
1237002,Consumer loan,Shopping for a loan or lease,JPMorgan Chase,Closed with explanation,1,0,43,0
1237004,Payday loan,Can't contact lender,"National Principal Group, LLC",Closed with explanation,1,1,42,8
1237005,Mortgage,"Loan modification,collection,foreclosure",Citibank,In progress,1,0,42,8
1237007,Mortgage,Credit decision / Underwriting,Bank of America,Closed with explanation,1,1,43,7
1237011,Bank account or service,"Making/receiving payments, sending money",Deutsche Bank,In progress,1,0,42,15
1237012,Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,Closed with explanation,1,0,43,0
1237014,Debt collection,Communication tactics,Speedy Cash Holdings,Closed with explanation,1,0,43,6
1237022,Credit reporting,Incorrect information on credit report,Equifax,Closed with explanation,1,1,43,12
1237034,Credit reporting,Incorrect information on credit report,Equifax,Closed with explanation,1,0,42,1
1237037,Debt collection,Cont'd attempts collect debt not owed,Global Credit & Collection Corporation,Closed with explanation,1,0,43,11
1237038,Mortgage,"Loan servicing, payments, escrow account",JPMorgan Chase,Closed with explanation,1,0,42,8
1237042,Credit reporting,Incorrect information on credit report,Equifax,Closed with explanation,1,1,43,0
1237045,Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,Closed with explanation,1,0,42,7
1237047,Credit card,Billing disputes,Citibank,Closed with explanation,1,1,42,7
