Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Company,Company response,Timely response?,Consumer disputed?,Delivery Time
1205020,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,OR,97641,Nationstar Mortgage,Closed with explanation,Yes,,5
1204392,Credit card,,Credit determination,,CA,,Bank of America,Closed with explanation,Yes,Yes,5
1204364,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,TX,78233,"Retrieval-Masters Creditors Bureau, Inc.",Closed,Yes,,0
1204342,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,FL,32095,Ocwen,Closed with explanation,Yes,,4
1204336,Bank account or service,Checking account,Deposits and withdrawals,,CA,91911,Comerica,Closed with explanation,Yes,,4
1204331,Bank account or service,Checking account,"Account opening, closing, or management",,NJ,8544,Bank of America,Closed with explanation,Yes,,5
1204330,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,MD,20602,Wells Fargo,Closed with explanation,Yes,,0
1204328,Bank account or service,Checking account,Deposits and withdrawals,,TX,76301,Wells Fargo,Closed with explanation,Yes,,4
1204361,Mortgage,VA mortgage,"Loan modification,collection,foreclosure",,IL,62226,Citibank,Closed with explanation,Yes,,0
1204357,Credit card,,APR or interest rate,,MI,48152,JPMorgan Chase,Closed with explanation,Yes,Yes,5
1204352,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,NV,89128,RJM Acquisitions LLC,Closed with explanation,Yes,,0
1204347,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,SC,29842,"Green Tree Servicing, LLC",Closed with explanation,Yes,,5
1204389,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,NY,10032,Ocwen,Closed with explanation,Yes,Yes,0
1204387,Bank account or service,Checking account,"Account opening, closing, or management",,KY,41139,PNC Bank,Closed with explanation,Yes,,4
1204378,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,NE,68122,"Credit Management Services, Inc.",Closed with explanation,Yes,Yes,0
1204366,Debt collection,,Disclosure verification of debt,Not given enough info to verify debt,TX,77008,"Portfolio Recovery Associates, Inc.",Closed with explanation,Yes,,0
1204372,Credit reporting,,Incorrect information on credit report,Account terms,OH,45202,Experian,Closed with explanation,Yes,,0
1204368,Debt collection,Payday loan,Taking/threatening an illegal action,Sued w/o proper notification of suit,NV,89131,ACE Cash Express Inc.,Closed with explanation,Yes,,0
1204371,Credit reporting,,Incorrect information on credit report,Account terms,OH,45202,TransUnion,Closed with explanation,Yes,,0
1204369,Payday loan,,Charged fees or interest I didn't expect,,NV,89131,"Enova International, Inc.",Closed with explanation,Yes,,0
1204384,Credit reporting,,Incorrect information on credit report,Information is not mine,PR,982,Equifax,Closed with explanation,Yes,,48
1204383,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,TX,75214,Trustmark Corporation,Closed with explanation,Yes,,0
1204382,Bank account or service,Checking account,Deposits and withdrawals,,MI,48390,Fifth Third Bank,Closed with explanation,Yes,,5
1204490,Credit reporting,,Unable to get credit report/credit score,Problem getting my free annual report,KY,42050,TransUnion,In progress,Yes,,7
1204479,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt was paid,TN,38002,Select Resource Group LLC,Closed with non-monetary relief,Yes,,6
1204445,Mortgage,Home equity loan or line of credit,Settlement process and costs,,VA,23322,SunTrust Bank,Closed with non-monetary relief,Yes,Yes,0
1204416,Credit reporting,,Incorrect information on credit report,Public record,CA,95691,Experian,Closed with explanation,Yes,,5
1204414,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,FL,33647,Wells Fargo,Closed with explanation,Yes,,5
1204400,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,NJ,7024,Wells Fargo,Closed with monetary relief,Yes,,0
1204393,Student loan,Non-federal student loan,Can't repay my loan,,TN,37865,Navient,Closed with explanation,Yes,,0
1204396,Debt collection,,Communication tactics,Frequent or repeated calls,TX,77345,Premier Recovery Group,Untimely response,No,,0
1204395,Bank account or service,Savings account,Deposits and withdrawals,,KS,67846,Wells Fargo,Closed with non-monetary relief,Yes,,4
1204435,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,MD,21239,"Bogman, Inc",Closed with explanation,Yes,,4
1204434,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,TN,37918,Bank of America,Closed with explanation,Yes,Yes,5
1204432,Debt collection,Credit card,Improper contact or sharing of info,Talked to a third party about my debt,AR,71753,"The McHughes Law Firm, LLC",Closed with explanation,Yes,Yes,6
1204422,Credit reporting,,Incorrect information on credit report,Personal information,CA,91205,Experian,Closed with non-monetary relief,Yes,,5
1204478,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,KY,40229,"Servis One, Inc.",Closed with explanation,Yes,,0
1204466,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,CA,94080,Nationstar Mortgage,Closed with explanation,Yes,,0
1204453,Consumer loan,Installment loan,Managing the loan or lease,,NY,10956,Fifth Third Bank,Closed with explanation,Yes,,5
1204447,Bank account or service,Other bank product/service,Deposits and withdrawals,,GA,30141,Regions,Closed with explanation,Yes,,5
1204465,Bank account or service,Checking account,Deposits and withdrawals,,IL,60156,Bank of America,Closed with monetary relief,Yes,,4
1204461,Credit reporting,,Incorrect information on credit report,Account status,TX,78745,TransUnion,Closed with explanation,Yes,,21
1204462,Credit reporting,,Incorrect information on credit report,Account status,TX,78745,Experian,In progress,Yes,,21
1205021,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,CA,90807,FCI Lender Services Inc.,Closed with explanation,Yes,,5
1204496,Debt collection,Credit card,Improper contact or sharing of info,Contacted me after I asked not to,CA,92115,GE Capital Retail,Closed with non-monetary relief,Yes,,0
1204494,Bank account or service,Checking account,Deposits and withdrawals,,FL,32110,Bank of America,Closed with monetary relief,Yes,,0
1204491,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,FL,33056,Ocwen,Closed with explanation,Yes,,5
1205025,Debt collection,Mortgage,Cont'd attempts collect debt not owed,Debt is not mine,DC,20020,Citibank,Closed with monetary relief,Yes,,0
1204507,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,ID,83422,Equifax,Closed with explanation,Yes,Yes,5
1203339,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,NY,11365,JPMorgan Chase,Closed with explanation,Yes,,5
1203295,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,DC,20001,"FAIR COLLECTIONS & OUTSOURCING, INC.",Closed with explanation,Yes,,0
1203270,Credit card,,Billing disputes,,VA,22304,GE Capital Retail,Closed with explanation,Yes,,0
1204506,Credit reporting,,Incorrect information on credit report,Account terms,ID,83422,Experian,Closed with non-monetary relief,Yes,,0
1204505,Bank account or service,Checking account,"Account opening, closing, or management",,TN,77380,BBVA Compass,Closed with explanation,Yes,,6
1203284,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,VA,22043,"American Collections Enterprise, Inc.",Closed,Yes,,0
1203294,Credit card,,Other,,IN,46952,Barclays,Closed with monetary relief,Yes,,6
1203275,Payday loan,,Applied for loan/did not receive money,,PA,15501,"Advance America, Cash Advance Centers, Inc.",Closed with explanation,Yes,Yes,5
1203292,Debt collection,"Other (phone, health club, etc.)",Communication tactics,Threatened to take legal action,MI,49424,"Robert W. Warner & Associates, P.C.",Closed with explanation,Yes,,5
1203286,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt resulted from identity theft,WA,98109,Oliphant Financial Corporation,Closed with explanation,Yes,,0
1203285,Credit card,,Credit determination,,CA,92867,Discover,Closed with explanation,Yes,Yes,0
1203290,Credit reporting,,Incorrect information on credit report,Account status,NC,28173,TransUnion,Closed with non-monetary relief,Yes,,0
1203289,Mortgage,Conventional fixed mortgage,Credit decision / Underwriting,,ME,4043,Ocwen,In progress,Yes,,5
1204568,Consumer loan,Vehicle lease,Problems when you are unable to pay,,TX,75001,"AC Autopay, LLC",Closed with explanation,Yes,Yes,0
1204511,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,CA,92582,Ocwen,Closed with explanation,Yes,,5
1204508,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,ID,83422,TransUnion,Closed with explanation,Yes,Yes,0
1203335,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,FL,32955,"Millennium Financial Group, L.L.C.",Untimely response,No,,0
1203296,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,NY,11801,Ocwen,Closed with non-monetary relief,Yes,,4
1203312,Mortgage,Other mortgage,"Application, originator, mortgage broker",,CA,95126,JPMorgan Chase,Closed with monetary relief,Yes,,5
1203303,Mortgage,Other mortgage,"Application, originator, mortgage broker",,PR,646,Citibank,In progress,Yes,,32
1203302,Debt collection,,Cont'd attempts collect debt not owed,Debt was paid,CA,90242,"First National Collection Bureau, Inc.",Closed with explanation,Yes,,0
1203308,Credit reporting,,Incorrect information on credit report,Information is not mine,ND,28269,Experian,Closed with non-monetary relief,Yes,,0
1203304,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,PA,17745,Ocwen,Closed with explanation,Yes,Yes,0
1203327,Credit reporting,,Incorrect information on credit report,Information is not mine,PA,17110,TransUnion,Closed with explanation,Yes,,5
1206201,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,NE,68465,Bank of America,Closed with monetary relief,Yes,,5
1203326,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,FL,33173,Nationstar Mortgage,Closed with explanation,Yes,,5
1203323,Student loan,Non-federal student loan,Can't repay my loan,,AZ,85635,ConServe,Closed with explanation,Yes,,0
1203331,Debt collection,Mortgage,Taking/threatening an illegal action,Seized/Attempted to seize property,GA,30312,"Bayview Loan Servicing, LLC",Closed with explanation,Yes,Yes,0
1203328,Credit reporting,,Incorrect information on credit report,Information is not mine,PA,17110,Equifax,Closed with explanation,Yes,,5
1204557,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,KY,42171,The Huntington National Bank,Closed with explanation,Yes,Yes,0
1204534,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,MO,64506,Midwestern Health Management INC,Closed with explanation,Yes,Yes,0
1204512,Debt collection,Credit card,Taking/threatening an illegal action,Threatened to sue on too old debt,NY,11237,Law Office of Linda Strumpf,Closed with explanation,Yes,,7
